25/01/2010 12:07:55 : Starting build.
25/01/2010 12:07:55 : Searching : R:\data\documentation\built_pdf\childb\
25/01/2010 12:07:57 : Searching : R:\data\documentation\built_pdf\childc\
25/01/2010 12:07:57 : Searching : R:\data\documentation\built_pdf\focus\
25/01/2010 12:07:58 : Searching : R:\data\documentation\built_pdf\puberty\
25/01/2010 12:07:58 : Searching : R:\data\documentation\built_pdf\school\
25/01/2010 12:07:59 : Indexing 70 files
25/01/2010 12:07:59 : Extracting : R:\data\documentation\built_pdf\childb\ka.pdf
25/01/2010 12:08:03 : Extracting : R:\data\documentation\built_pdf\childb\kb.pdf
25/01/2010 12:08:15 : Extracting : R:\data\documentation\built_pdf\childb\kc.pdf
25/01/2010 12:08:21 : Extracting : R:\data\documentation\built_pdf\childb\kd.pdf
25/01/2010 12:08:25 : Extracting : R:\data\documentation\built_pdf\childb\ke.pdf
25/01/2010 12:08:32 : Extracting : R:\data\documentation\built_pdf\childb\kf.pdf
25/01/2010 12:08:35 : Extracting : R:\data\documentation\built_pdf\childb\kg.pdf
25/01/2010 12:08:45 : Extracting : R:\data\documentation\built_pdf\childb\kj.pdf
25/01/2010 12:08:50 : Extracting : R:\data\documentation\built_pdf\childb\KK.pdf
25/01/2010 12:08:57 : Extracting : R:\data\documentation\built_pdf\childb\kl.pdf
25/01/2010 12:09:06 : Extracting : R:\data\documentation\built_pdf\childb\km.pdf
25/01/2010 12:09:15 : Extracting : R:\data\documentation\built_pdf\childb\kn.pdf
25/01/2010 12:09:23 : Extracting : R:\data\documentation\built_pdf\childb\kp.pdf
25/01/2010 12:09:33 : Extracting : R:\data\documentation\built_pdf\childb\kq.pdf
25/01/2010 12:09:43 : Extracting : R:\data\documentation\built_pdf\childb\kr.pdf
25/01/2010 12:09:58 : Extracting : R:\data\documentation\built_pdf\childb\ks.pdf
25/01/2010 12:10:04 : Extracting : R:\data\documentation\built_pdf\childb\kt.pdf
25/01/2010 12:10:11 : Extracting : R:\data\documentation\built_pdf\childb\ku.pdf
25/01/2010 12:10:22 : Extracting : R:\data\documentation\built_pdf\childb\kv.pdf
25/01/2010 12:10:30 : Extracting : R:\data\documentation\built_pdf\childb\kw.pdf
25/01/2010 12:10:39 : Extracting : R:\data\documentation\built_pdf\childb\ta.pdf
25/01/2010 12:10:47 : Extracting : R:\data\documentation\built_pdf\childb\TB.pdf
25/01/2010 12:10:55 : Extracting : R:\data\documentation\built_pdf\childb\TXA.pdf
