25/01/2010 12:21:17 : Starting build.
25/01/2010 12:21:17 : Searching : R:\data\documentation\quest_pdf\childb\
25/01/2010 12:21:19 : Searching : R:\data\documentation\quest_pdf\childc\
25/01/2010 12:21:20 : Searching : R:\data\documentation\quest_pdf\school\
25/01/2010 12:21:20 : Searching : R:\data\documentation\quest_pdf\focus\
25/01/2010 12:21:20 : Indexing 84 files
25/01/2010 12:21:20 : Extracting : R:\data\documentation\quest_pdf\childb\pub5_boy_quest.pdf
25/01/2010 12:21:21 : Extracting : R:\data\documentation\quest_pdf\childb\pub5_girl_quest.pdf
25/01/2010 12:21:22 : Extracting : R:\data\documentation\quest_pdf\childb\pub6_female_quest.pdf
25/01/2010 12:21:24 : Extracting : R:\data\documentation\quest_pdf\childb\pub6_male_quest.pdf
25/01/2010 12:21:24 : Extracting : R:\data\documentation\quest_pdf\childb\pub7_tf3_female_quest.pdf
25/01/2010 12:21:24 : Extracting : R:\data\documentation\quest_pdf\childb\pub7_tf3_male_quest.pdf
25/01/2010 12:21:24 : Extracting : R:\data\documentation\quest_pdf\childb\pub8_female_quest.pdf
25/01/2010 12:21:25 : Extracting : R:\data\documentation\quest_pdf\childb\pub8_male_quest.pdf
25/01/2010 12:21:25 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb01__my_young_baby_girl.pdf
25/01/2010 12:21:25 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb02__my_daughter.pdf
25/01/2010 12:21:26 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb03__my_infant_daughter.pdf
25/01/2010 12:21:27 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb04__girl_toddler.pdf
25/01/2010 12:21:28 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb05__my_little_girl.pdf
25/01/2010 12:21:28 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb06__my_study_son.pdf
25/01/2010 12:21:29 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb07__my_3_year_old_boy.pdf
25/01/2010 12:21:29 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb08__my sons health and behaviour.pdf
25/01/2010 12:21:30 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb09__my young 4 year old boy.pdf
25/01/2010 12:21:31 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb10__development_and_health_of_my_son.pdf
25/01/2010 12:21:32 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb11__my_five_year_old_son.pdf
25/01/2010 12:21:33 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb12__my_school_boy.pdf
25/01/2010 12:21:34 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb13__my_daughter_growing_up.pdf
25/01/2010 12:21:35 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb14__my_son_at_school.pdf
25/01/2010 12:21:37 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb15__my_daughters_well_being.pdf
25/01/2010 12:21:38 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb16a__mum_and_daughter_at_8.pdf
25/01/2010 12:21:38 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb16b__parent_and_ son_at_8.pdf
25/01/2010 12:21:39 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb17__my_sons_health.pdf
25/01/2010 12:21:39 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb18__my_daughter_at_home_and_at_school.pdf
25/01/2010 12:21:40 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb19__your_son_at_9.pdf
25/01/2010 12:21:42 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb20a__growing_and_changing_ii_girl.pdf
25/01/2010 12:21:44 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb20b__growing_and_changing_ii_boy.pdf
25/01/2010 12:21:44 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb21__girl_health_and_happiness.pdf
25/01/2010 12:21:45 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb22a__puberty_girl_iii.pdf
25/01/2010 12:21:47 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb22b__puberty_boy_iii.pdf
25/01/2010 12:21:47 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb23__being_a_girl.pdf
25/01/2010 12:21:48 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb24a__puberty_girl_iv.pdf
25/01/2010 12:21:52 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb24b__puberty_boy_iv.pdf
25/01/2010 12:21:52 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb25__my_teenage_son.pdf
25/01/2010 12:21:53 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb26__Wellbeing_of_my_teenage_daughter.pdf
25/01/2010 12:21:55 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb27__Your_Daughter_16+_Years_On.pdf
25/01/2010 12:21:56 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb51__Year11_Parent_Carer.pdf
25/01/2010 12:21:57 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c01__your_own_questionnaire.pdf
25/01/2010 12:21:57 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c02__my_second_questionnaire.pdf
25/01/2010 12:21:57 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c03__your_next_questionnaire.pdf
25/01/2010 12:21:57 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c04__growing_up.pdf
25/01/2010 12:21:57 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c05__my_questionnaire.pdf
25/01/2010 12:21:57 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c06__things_for_you_to_do.pdf
25/01/2010 12:21:57 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c07__my_teeth.pdf
